CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
V94523,160,0.005,0.034,4.57,0.653,0.075,0.046,322,44,1388.3496882179193,8,5,0.009000000000000001
V94522,162,0.005,0.031,4.56,0.633,0.069,0.045,300,42,1405.0,9,4,0.008
V94521,165,0.005,0.02,4.56,1.0959999999999999,0.10800000000000001,0.05,286,41,1355.0,7,5,0.002
V94520,178,0.005,0.034,4.53,0.509,0.052000000000000005,0.040999999999999995,314,44,1383.0,8,4,0.011000000000000001
V94519,161,0.005,0.043,4.55,0.504,0.051,0.039,356,52,1402.0,11,5,0.006999999999999999
V94518,172,0.005,0.040999999999999995,4.55,0.718,0.052000000000000005,0.042,516,26,1245.0,13,3,0.012
V94517,166,0.005,0.04,4.53,0.529,0.059000000000000004,0.043,360,46,1388.3496882179193,9,4,0.009000000000000001
V94515,161,0.005,0.032,4.61,0.562,0.066,0.045,313,44,1415.0,8,5,0.006999999999999999
V94514,155,0.005,0.033,4.57,0.561,0.062,0.044000000000000004,302,45,1436.0,8,4,0.009000000000000001
V94512,176,0.005,0.021,4.58,0.7,0.084,0.044000000000000004,258,39,1375.0,8,3,0.004
V94511,162,0.005,0.03,4.62,0.609,0.069,0.045,304,42,1394.0,8,5,0.006
V94510,167,0.005,0.026000000000000002,4.59,0.627,0.073,0.045,297,42,1423.0,8,3,0.004
V94509,172,0.005,0.019,4.58,0.698,0.086,0.045,241,35,1374.0,7,3,0.012
V94507,180,0.005,0.054000000000000006,4.6,0.313,0.03,0.037000000000000005,440,59,1376.0,13,5,0.009000000000000001
V94505,156,0.005,0.045,4.55,0.596,0.057,0.040999999999999995,329,45,1342.0,8,5,0.011000000000000001
