,CASTNO,HM_WT,AIM_S,HM_S,HM_C,HM_SI,HM_TI,HM_MN,CAC2,MG,HM_TEMP,CAC2_INJ_TIME,MG_INJ_TIME,DS_S
1529,V97772,169,0.005,0.061,4.6,0.672,0.07,0.039,448,70,1418.0,12,7,0.006999999999999999
1530,V97770,163,0.005,0.034,4.62,1.01,0.098,0.043,326,52,1439.0,9,5,0.004
1531,V97768,166,0.005,0.079,4.43,0.354,0.038,0.033,548,78,1374.0,17,8,0.006
1532,V97767,163,0.005,0.073,4.45,0.42,0.04,0.035,504,97,1382.0,13,9,0.008
1533,V97766,163,0.005,0.07400000000000001,4.45,0.379,0.040999999999999995,0.036000000000000004,532,86,1375.0,14,8,0.006
1534,V97765,170,0.005,0.048,4.51,0.483,0.061,0.038,382,57,1310.0,10,6,0.004
1535,V97764,165,0.005,0.045,4.56,0.654,0.068,0.038,373,59,1343.0,10,5,0.006
1536,V97763,160,0.005,0.03,4.7,0.787,0.085,0.040999999999999995,323,45,1415.0,8,4,0.006
1537,V97762,163,0.005,0.048,4.56,0.7,0.077,0.037000000000000005,378,56,1388.3496882179193,10,5,0.004
1538,V97761,161,0.005,0.073,4.44,0.39,0.039,0.034,530,87,1401.0,14,8,0.008
1539,V97759,180,0.005,0.057999999999999996,4.55,0.519,0.048,0.035,439,63,1401.0,12,7,0.012
1540,V97758,170,0.005,0.051,4.53,0.68,0.07,0.037000000000000005,401,60,1388.3496882179193,10,6,0.006999999999999999
1541,V97757,150,0.005,0.035,4.66,1.06,0.10400000000000001,0.038,320,45,1424.0,8,4,0.005
1542,V97755,152,0.005,0.036000000000000004,4.52,0.95,0.094,0.038,332,46,1422.0,7,5,0.006999999999999999
1543,V97754,161,0.005,0.031,4.53,1.0390000000000001,0.1,0.038,302,42,1414.0,7,4,0.005
1544,V97752,166,0.005,0.046,4.54,0.49,0.064,0.037000000000000005,379,53,1370.0,9,5,0.01
1545,V97751,170,0.005,0.044000000000000004,4.66,0.61,0.068,0.039,369,52,1354.0,9,5,0.003
1546,V97750,160,0.005,0.04,4.6,0.59,0.068,0.038,356,49,1368.0,8,5,0.005
1547,V97748,152,0.005,0.042,4.57,0.575,0.066,0.036000000000000004,353,50,1370.0,6,3,0.006
1548,V97747,156,0.005,0.040999999999999995,4.51,0.54,0.068,0.037000000000000005,357,49,1382.0,8,5,0.006
1549,V97746,174,0.005,0.025,4.61,1.2,0.11699999999999999,0.040999999999999995,275,38,1425.0,6,3,0.004
1550,V97745,166,0.005,0.038,4.57,0.635,0.073,0.038,335,50,1411.0,9,5,0.005
1551,V97744,162,0.005,0.044000000000000004,4.58,0.61,0.069,0.037000000000000005,373,52,1414.0,9,5,0.005
1552,V97741,164,0.005,0.046,4.51,0.436,0.062,0.036000000000000004,386,55,1388.3496882179193,10,5,0.008
1553,V97739,159,0.005,0.064,4.44,0.37799999999999995,0.042,0.034,519,76,1431.0,12,8,0.01
1554,V97740,160,0.005,0.05,4.48,0.43700000000000006,0.054000000000000006,0.035,398,59,1329.0,11,6,0.012
1555,V97738,166,0.005,0.055,4.55,0.53,0.040999999999999995,0.033,422,59,1388.3496882179193,11,5,0.01
1556,V97737,174,0.005,0.067,4.48,0.4,0.04,0.032,493,72,1403.0,13,8,0.006
1557,V97736,173,0.005,0.06,4.46,0.41,0.055,0.034,467,65,1391.0,12,7,0.006999999999999999
1558,V97735,169,0.005,0.05,4.54,0.42,0.054000000000000006,0.036000000000000004,394,55,1376.0,10,5,0.01
1559,V97734,173,0.005,0.055999999999999994,4.56,0.39,0.051,0.035,422,59,1398.0,11,6,0.011000000000000001
1560,V97733,170,0.005,0.033,4.55,0.56,0.047,0.036000000000000004,319,45,1365.0,8,4,0.017
1561,V97731,170,0.005,0.027999999999999997,4.66,0.619,0.046,0.036000000000000004,284,40,1394.0,7,4,0.013999999999999999
1562,V97729,165,0.005,0.032,4.59,0.6809999999999999,0.077,0.039,307,43,1353.0,8,4,0.005
1563,V97728,162,0.005,0.046,4.62,0.40399999999999997,0.049,0.033,441,62,1394.0,11,7,0.008
1564,V97727,166,0.005,0.047,4.62,0.34299999999999997,0.052000000000000005,0.035,383,54,1390.0,10,6,0.006999999999999999
1565,V97726,171,0.005,0.052000000000000005,4.64,0.433,0.054000000000000006,0.035,394,55,1402.0,10,5,0.006999999999999999
1566,V97725,170,0.005,0.043,4.56,0.435,0.054000000000000006,0.036000000000000004,359,50,1439.0,9,5,0.012
1567,V97724,166,0.005,0.049,4.62,0.41200000000000003,0.053,0.035,394,56,1431.0,10,6,0.009000000000000001
1568,V97722,158,0.005,0.059000000000000004,4.56,0.40399999999999997,0.05,0.036000000000000004,436,62,1366.0,11,6,0.009000000000000001
1569,V97721,163,0.005,0.055999999999999994,4.56,0.42200000000000004,0.05,0.036000000000000004,427,59,1363.0,11,6,0.008
1570,V97720,177,0.005,0.051,4.53,0.433,0.05,0.036000000000000004,398,56,1394.0,10,5,0.01
1571,V97717,163,0.005,0.046,4.56,0.521,0.067,0.037000000000000005,370,53,1409.0,9,4,0.006999999999999999
1572,V97716,179,0.005,0.055,4.54,0.642,0.07,0.037000000000000005,412,60,1405.0,12,6,0.005
